,Review
1469,"Llegó en el tiempo indicado, sin ningún detalle físico.  Condición de Batería al 100%, me encanto el producto."
1470,"Wrong color, lenses are broken and corners are scratched all over. So bad. Tooooooooo expensive for this."
1471,The battery health is only 84% and I don’t feel I got my moneys worth.
1472,I didn’t realize it had no headphone input jack. Otherwise it’s great!
1473,"El celular me llego en perfecto estado, es el segundo iPhone 11 que compro no hay problema alguno. Estoy satisfecha."
1474,"Love it,no complaints"
1475,Works as advertised
1476,"The battery life is amazing it last me a whole day, it took me awhile to get use to not having a home button but one thing i do like is the camera quality"
1477,Love this phone… thank you!
1478,SCAM
1479,The seller mentioned it was unlocked and it wasn’t
1480,Love it
1481,"Payed for the express, it came late and just to top it off the phone wasn’t even unlocked like it claimed to be!"
1482,Love this
1483,El iPhone lo recibí en perfectas condiciones de verdad muy satisfecho
1484,"No carga, tengo que usar carga magnética ya que el puerto no funciona"
1485,
1486,all good
1487,I used this product on a daily basis and it works like a charm
1488,My phone works perfectly! I have zero complaints.
1489,I was ify about this because of the reviews but it’s great and it works just fine
1490,What an amazing experience!!! I received my iPhone 11 in only 2 days and my phone looks brand new!!! Absolutely no scratches or anything!!!! It is beautiful and I have absolutely no complaints!!!!
1491,"Beautiful screen, good size, lots of features and feels awesome to use"
1492,I bought two units. One was ok and the other with the selfie camera in green.  I was expecting both units in good conditions. Very dissappointed.
1493,"The media could not be loaded.
                




   Cargando el display se vuelve loco con el mismo cargador que me enviaron uds"
1494,This phone works really well so far and I’m glad I bought it! I am in love. I was disappointed that the phone could not be used for Boost Mobile but I decided to switch to Verizon and they took care of me!
1495,"The only thing I dislike is the battery life isn’t as long as I expected. But the phone came in perfect condition, I’ve had no issues with it"
1496,Phone is fully functional as stated. Phone is as described . Got quick delivery as well
1497,"The product had a few scratches and only charges with the charger that came with it. Other than that, its perfect! :)"
1498,"Excelente producto, llego en la fecha indicada y el precio es lo mejor de todo. Incluye lámina protectora para la pantalla."
1499,Like new iPhone 11.
1500,No good
1501,"This product failed to recognize my face, I had to repair it and spend more money."
1502,Works perfectly fine as if it’s brand new!!! was skeptical at first but it’s fully unlocked and it’s definitely worth the purchase !!!
1503,The phone was in excellent shape and worked properly. Battery life is good. -- Does not include ear pods.
1504,Product was as described will recommend
1505,Really like it I can see a lil scratch but it’s looks fine
1506,"This phone is amazing. When I received the package it didn’t come with any scratches. Also, the battery works amazing!!!"
1507,"I bought this phone and ever since, it keeps telling me can’t find sim, I’ve been using WiFi all thru. Will not buy from this company again."
1508,Todo como descrito. Excelente producto estoy muy satisfecha.
1509,The phones works perfectly and the battery lasts all day without charging
1510,Absolutely love it
1511,I’ve had it for abt a month now and it’s pretty good way better then spending 800 on it
1512,"works great, basically brand new, everything works and has 100% battery life. shipping was fast"
1513,Todo bien con el teléfono. Aunque esperaba que viniera con su caja y con el cargador original. Viene con otra caja y con un cargador alterno.
1514,Carrier could not get it to connect to their network
1515,I have AT&T and it worked perfectly. Easy to transition from my iphone 7
1516,"Después de unas semanas de uso, la pantalla comenzó a fallar cómo está en la foto."
1517,Great So far Will buy another
1518,El telefono vino con la patalla rota.Para la próxima enviarlo.en una caja no en un sobre.
1519,"definitely worth the money, doesn’t come in the apple box like expected, but it came with a screen protector which saved me money, as i already had a case."
1520,Received very fast . In perfect condition . I had an iPhone 7 Plus and was able to switch my SIM card right to this phone. If don’t already have SIM card they cost like 15 dollars at any phone store. So happy!
1521,Very good shape
1522,Problemas con el touch y bateria
1523,not sure if its better performance than my iPhone 8 plus
1524,Everything came how it was supposed to no scratches and looking brand new and came with an charger and everything
1525,Love apple products
1526,The only complaint I have is the cable to charge my device doesn’t work I have to buy another one the cable only work one time after that dint work again for the rest the phone works great thanks
1527,Loved it from the touch and the color to how fast it works and how well the face recognition works.
1528,Esto se apago completo sin arreglo
1529,The phones great the one problem I have with it is I can’t add service to the phone
